Feature ,SelectionMethod,ForecastHorizon,Region,NumberSelections
tempmax,PC,1,Norte,1
tempmin,PC,1,Norte,1
tempavg,PC,1,Norte,1
J,PC,1,Norte,0
I/Rad,PC,1,Norte,1
pressatm,PC,1,Norte,0
humimax ,PC,1,Norte,1
humimin,PC,1,Norte,1
humirel,PC,1,Norte,2
wind,PC,1,Norte,0
Eto,PC,1,Norte,2
tempmax,FI,1,Norte,1
tempmin,FI,1,Norte,0
tempavg,FI,1,Norte,2
J,FI,1,Norte,0
I/Rad,FI,1,Norte,1
pressatm,FI,1,Norte,0
humimax ,FI,1,Norte,1
humimin,FI,1,Norte,1
humirel,FI,1,Norte,2
wind,FI,1,Norte,1
Eto,FI,1,Norte,1
tempmax,PC,1,Nordeste,1
tempmin,PC,1,Nordeste,0
tempavg,PC,1,Nordeste,1
J,PC,1,Nordeste,0
I/Rad,PC,1,Nordeste,1
pressatm,PC,1,Nordeste,0
humimax ,PC,1,Nordeste,0
humimin,PC,1,Nordeste,0
humirel,PC,1,Nordeste,1
wind,PC,1,Nordeste,1
Eto,PC,1,Nordeste,5
tempmax,FI,1,Nordeste,1
tempmin,FI,1,Nordeste,0
tempavg,FI,1,Nordeste,0
J,FI,1,Nordeste,1
I/Rad,FI,1,Nordeste,1
pressatm,FI,1,Nordeste,0
humimax ,FI,1,Nordeste,0
humimin,FI,1,Nordeste,1
humirel,FI,1,Nordeste,1
wind,FI,1,Nordeste,0
Eto,FI,1,Nordeste,5
tempmax,PC,1,Centroeste,0
tempmin,PC,1,Centroeste,0
tempavg,PC,1,Centroeste,3
J,PC,1,Centroeste,0
I/Rad,PC,1,Centroeste,0
pressatm,PC,1,Centroeste,0
humimax ,PC,1,Centroeste,0
humimin,PC,1,Centroeste,0
humirel,PC,1,Centroeste,0
wind,PC,1,Centroeste,0
Eto,PC,1,Centroeste,7
tempmax,FI,1,Centroeste,0
tempmin,FI,1,Centroeste,0
tempavg,FI,1,Centroeste,3
J,FI,1,Centroeste,1
I/Rad,FI,1,Centroeste,0
pressatm,FI,1,Centroeste,1
humimax ,FI,1,Centroeste,0
humimin,FI,1,Centroeste,0
humirel,FI,1,Centroeste,0
wind,FI,1,Centroeste,0
Eto,FI,1,Centroeste,5
tempmax,PC,1,Sul,1
tempmin,PC,1,Sul,0
tempavg,PC,1,Sul,5
J,PC,1,Sul,0
I/Rad,PC,1,Sul,1
pressatm,PC,1,Sul,0
humimax ,PC,1,Sul,0
humimin,PC,1,Sul,0
humirel,PC,1,Sul,0
wind,PC,1,Sul,0
Eto,PC,1,Sul,3
tempmax,FI,1,Sul,1
tempmin,FI,1,Sul,1
tempavg,FI,1,Sul,2
J,FI,1,Sul,0
I/Rad,FI,1,Sul,2
pressatm,FI,1,Sul,0
humimax ,FI,1,Sul,0
humimin,FI,1,Sul,1
humirel,FI,1,Sul,1
wind,FI,1,Sul,0
Eto,FI,1,Sul,2
tempmax,PC,1,Sudeste,1
tempmin,PC,1,Sudeste,0
tempavg,PC,1,Sudeste,0
J,PC,1,Sudeste,0
I/Rad,PC,1,Sudeste,1
pressatm,PC,1,Sudeste,0
humimax ,PC,1,Sudeste,2
humimin,PC,1,Sudeste,0
humirel,PC,1,Sudeste,2
wind,PC,1,Sudeste,0
Eto,PC,1,Sudeste,3
tempmax,FI,1,Sudeste,0
tempmin,FI,1,Sudeste,0
tempavg,FI,1,Sudeste,0
J,FI,1,Sudeste,1
I/Rad,FI,1,Sudeste,1
pressatm,FI,1,Sudeste,1
humimax ,FI,1,Sudeste,1
humimin,FI,1,Sudeste,1
humirel,FI,1,Sudeste,2
wind,FI,1,Sudeste,1
Eto,FI,1,Sudeste,2
tempmax,PC,3,Norte,0
tempmin,PC,3,Norte,0
tempavg,PC,3,Norte,0
J,PC,3,Norte,0
I/Rad,PC,3,Norte,0
pressatm,PC,3,Norte,0
humimax ,PC,3,Norte,0
humimin,PC,3,Norte,0
humirel,PC,3,Norte,9
wind,PC,3,Norte,0
Eto,PC,3,Norte,1
tempmax,FI,3,Norte,0
tempmin,FI,3,Norte,0
tempavg,FI,3,Norte,0
J,FI,3,Norte,8
I/Rad,FI,3,Norte,0
pressatm,FI,3,Norte,0
humimax ,FI,3,Norte,0
humimin,FI,3,Norte,1
humirel,FI,3,Norte,0
wind,FI,3,Norte,0
Eto,FI,3,Norte,1
tempmax,PC,3,Nordeste,0
tempmin,PC,3,Nordeste,0
tempavg,PC,3,Nordeste,0
J,PC,3,Nordeste,0
I/Rad,PC,3,Nordeste,0
pressatm,PC,3,Nordeste,0
humimax ,PC,3,Nordeste,0
humimin,PC,3,Nordeste,0
humirel,PC,3,Nordeste,0
wind,PC,3,Nordeste,0
Eto,PC,3,Nordeste,10
tempmax,FI,3,Nordeste,0
tempmin,FI,3,Nordeste,0
tempavg,FI,3,Nordeste,0
J,FI,3,Nordeste,4
I/Rad,FI,3,Nordeste,1
pressatm,FI,3,Nordeste,0
humimax ,FI,3,Nordeste,0
humimin,FI,3,Nordeste,0
humirel,FI,3,Nordeste,0
wind,FI,3,Nordeste,0
Eto,FI,3,Nordeste,5
tempmax,PC,3,Centroeste,0
tempmin,PC,3,Centroeste,0
tempavg,PC,3,Centroeste,8
J,PC,3,Centroeste,0
I/Rad,PC,3,Centroeste,0
pressatm,PC,3,Centroeste,0
humimax ,PC,3,Centroeste,0
humimin,PC,3,Centroeste,0
humirel,PC,3,Centroeste,0
wind,PC,3,Centroeste,0
Eto,PC,3,Centroeste,2
tempmax,FI,3,Centroeste,0
tempmin,FI,3,Centroeste,0
tempavg,FI,3,Centroeste,2
J,FI,3,Centroeste,1
I/Rad,FI,3,Centroeste,0
pressatm,FI,3,Centroeste,4
humimax ,FI,3,Centroeste,0
humimin,FI,3,Centroeste,0
humirel,FI,3,Centroeste,0
wind,FI,3,Centroeste,0
Eto,FI,3,Centroeste,3
tempmax,PC,3,Sul,0
tempmin,PC,3,Sul,0
tempavg,PC,3,Sul,0
J,PC,3,Sul,7
I/Rad,PC,3,Sul,0
pressatm,PC,3,Sul,0
humimax ,PC,3,Sul,0
humimin,PC,3,Sul,0
humirel,PC,3,Sul,0
wind,PC,3,Sul,0
Eto,PC,3,Sul,3
tempmax,FI,3,Sul,1
tempmin,FI,3,Sul,0
tempavg,FI,3,Sul,3
J,FI,3,Sul,2
I/Rad,FI,3,Sul,2
pressatm,FI,3,Sul,0
humimax ,FI,3,Sul,0
humimin,FI,3,Sul,0
humirel,FI,3,Sul,0
wind,FI,3,Sul,0
Eto,FI,3,Sul,2
tempmax,PC,3,Sudeste,0
tempmin,PC,3,Sudeste,0
tempavg,PC,3,Sudeste,0
J,PC,3,Sudeste,0
I/Rad,PC,3,Sudeste,1
pressatm,PC,3,Sudeste,0
humimax ,PC,3,Sudeste,2
humimin,PC,3,Sudeste,0
humirel,PC,3,Sudeste,2
wind,PC,3,Sudeste,0
Eto,PC,3,Sudeste,5
tempmax,FI,3,Sudeste,0
tempmin,FI,3,Sudeste,0
tempavg,FI,3,Sudeste,0
J,FI,3,Sudeste,5
I/Rad,FI,3,Sudeste,0
pressatm,FI,3,Sudeste,1
humimax ,FI,3,Sudeste,0
humimin,FI,3,Sudeste,
humirel,FI,3,Sudeste,2
wind,FI,3,Sudeste,0
Eto,FI,3,Sudeste,2
tempmax,PC,7,Norte,0
tempmin,PC,7,Norte,0
tempavg,PC,7,Norte,0
J,PC,7,Norte,0
I/Rad,PC,7,Norte,0
pressatm,PC,7,Norte,0
humimax ,PC,7,Norte,0
humimin,PC,7,Norte,0
humirel,PC,7,Norte,0
wind,PC,7,Norte,0
Eto,PC,7,Norte,10
tempmax,FI,7,Norte,0
tempmin,FI,7,Norte,0
tempavg,FI,7,Norte,0
J,FI,7,Norte,4
I/Rad,FI,7,Norte,0
pressatm,FI,7,Norte,0
humimax ,FI,7,Norte,0
humimin,FI,7,Norte,0
humirel,FI,7,Norte,0
wind,FI,7,Norte,0
Eto,FI,7,Norte,6
tempmax,PC,7,Nordeste,0
tempmin,PC,7,Nordeste,0
tempavg,PC,7,Nordeste,0
J,PC,7,Nordeste,0
I/Rad,PC,7,Nordeste,0
pressatm,PC,7,Nordeste,0
