rmse,model,forecast_horizon,station_name
0.9,arvore,1,Sete_lagoas_2012
0.98,arvore,3,Sete_lagoas_2012
1.05,arvore,7,Sete_lagoas_2012
1.09,arvore,10,Sete_lagoas_2012
0.8300000000000001,xgb,1,Sete_lagoas_2012
0.98,xgb,3,Sete_lagoas_2012
1.05,xgb,7,Sete_lagoas_2012
1.06,xgb,10,Sete_lagoas_2012
0.88,florestaAleatoria,1,Sete_lagoas_2012
0.96,florestaAleatoria,3,Sete_lagoas_2012
1.0,florestaAleatoria,7,Sete_lagoas_2012
1.01,florestaAleatoria,10,Sete_lagoas_2012
0.8500000000000001,arvore,1,Sete_lagoas_2013
1.03,arvore,3,Sete_lagoas_2013
1.1,arvore,7,Sete_lagoas_2013
1.04,arvore,10,Sete_lagoas_2013
0.8200000000000001,xgb,1,Sete_lagoas_2013
1.01,xgb,3,Sete_lagoas_2013
1.04,xgb,7,Sete_lagoas_2013
1.05,xgb,10,Sete_lagoas_2013
0.91,florestaAleatoria,1,Sete_lagoas_2013
1.01,florestaAleatoria,3,Sete_lagoas_2013
1.03,florestaAleatoria,7,Sete_lagoas_2013
1.04,florestaAleatoria,10,Sete_lagoas_2013
0.8300000000000001,arvore,1,Sete_lagoas_2014
0.98,arvore,3,Sete_lagoas_2014
1.02,arvore,7,Sete_lagoas_2014
1.07,arvore,10,Sete_lagoas_2014
0.77,xgb,1,Sete_lagoas_2014
1.01,xgb,3,Sete_lagoas_2014
1.06,xgb,7,Sete_lagoas_2014
1.08,xgb,10,Sete_lagoas_2014
0.8600000000000001,florestaAleatoria,1,Sete_lagoas_2014
0.98,florestaAleatoria,3,Sete_lagoas_2014
1.0,florestaAleatoria,7,Sete_lagoas_2014
1.0,florestaAleatoria,10,Sete_lagoas_2014
0.8300000000000001,arvore,1,Sete_lagoas_2015
0.95,arvore,3,Sete_lagoas_2015
1.06,arvore,7,Sete_lagoas_2015
1.01,arvore,10,Sete_lagoas_2015
0.79,xgb,1,Sete_lagoas_2015
1.01,xgb,3,Sete_lagoas_2015
1.04,xgb,7,Sete_lagoas_2015
1.05,xgb,10,Sete_lagoas_2015
0.8600000000000001,florestaAleatoria,1,Sete_lagoas_2015
0.97,florestaAleatoria,3,Sete_lagoas_2015
1.0,florestaAleatoria,7,Sete_lagoas_2015
1.01,florestaAleatoria,10,Sete_lagoas_2015
